step,original_step,time,ppo_hvac_kwh,grpo_hvac_kwh,ppo_facility_kwh,grpo_facility_kwh,ppo_mean_setpoint_c,grpo_mean_setpoint_c,ppo_pmv_violation,grpo_pmv_violation
1,1,07:02,8.709,8.4912,20.237,20.0192,23.912500000000005,24.75,0.0,0.0
2,2,07:12,10.1279,8.8514,21.6559,20.3794,23.500000000000004,25.75,0.0,0.0
3,3,07:22,10.1971,10.294,21.7251,21.822,23.425000000000004,23.5,0.0,0.0
4,4,07:31,10.419,9.1762,21.9469,20.7042,23.475,25.375,0.0,0.0
5,5,07:41,10.5215,9.501,22.0495,21.029,23.475,25.387499999999996,0.0,0.0
6,6,07:51,10.8707,9.8973,22.3987,21.4253,23.475,25.237499999999997,0.0,0.0
7,7,08:01,11.2401,10.1883,22.7681,21.7163,23.35,25.1875,0.0,0.0
8,8,08:11,11.5569,10.4624,23.0849,21.9904,23.4125,25.0125,0.0,0.0
9,9,08:21,11.8792,11.6716,23.4072,23.1995,23.35,24.3125,0.0,0.0
10,10,08:31,11.9968,10.8724,23.5248,22.4004,23.4,24.75,0.0,0.0
11,11,08:42,12.3059,11.0555,23.8339,22.5834,23.35,24.75,0.0,0.0
12,12,08:52,12.2252,11.876,23.7532,23.4039,23.387500000000003,24.375,0.0,0.0
13,13,09:01,12.5713,11.7431,24.0993,23.2711,23.325000000000003,24.4375,0.0,0.0
14,14,09:12,12.5013,11.74,24.0293,23.268,23.3125,24.375,0.0,0.0
15,15,09:21,12.5923,11.7742,24.1203,23.3022,23.275,24.375,0.0,0.0
16,16,09:32,12.5261,12.4871,24.054,24.0151,23.2875,24.0,0.0,0.0
17,17,09:42,12.5262,11.8108,24.0542,23.3388,23.237499999999997,24.125,0.0,0.0
18,18,09:52,12.1594,11.6769,23.6873,23.2049,23.4,24.25,0.0,0.0
19,19,10:02,12.6747,11.8787,24.2027,23.4067,23.1625,24.125,0.0,0.0
20,20,10:12,12.2228,11.4543,23.7508,22.9823,23.262500000000003,24.325000000000003,0.0,0.0
21,21,10:22,12.3955,11.9412,23.9235,23.4692,23.1625,24.174999999999997,0.0,0.0
22,22,10:32,12.2562,12.2524,23.7842,23.7804,23.262500000000003,24.0,0.0,0.0
23,23,10:42,12.4866,12.2579,24.0145,23.7859,23.1625,23.9375,0.0,0.0
24,24,10:52,12.3229,11.9111,23.8509,23.4391,23.287500000000005,24.1625,0.0,0.0
25,25,11:02,12.6256,14.7395,24.1536,26.2675,23.1625,22.825,0.0,0.0
26,26,11:12,12.272,11.8151,23.8,23.3431,23.287500000000005,23.8125,0.0,0.0
27,27,11:22,12.5834,12.4234,24.1114,23.9514,23.1625,23.875,0.0,0.0
28,28,11:32,12.4191,13.0065,23.9471,24.5345,23.287500000000005,23.5,0.0,0.0
29,29,11:42,12.7546,14.3277,24.2826,25.8557,23.1625,22.875,0.0,0.0
30,30,11:52,12.5973,11.7598,24.1252,23.2878,23.287500000000005,23.95,0.0,0.0
31,31,12:02,12.9402,13.3404,24.4682,24.8683,23.1625,24.0,0.0,0.0
32,32,12:12,12.7434,12.5182,24.2713,24.0462,23.287500000000005,23.875,0.0,0.0
33,33,12:22,13.0474,12.9561,24.5753,24.4841,23.1625,23.75,0.0,0.0
34,34,12:32,12.8332,12.8698,24.3611,24.3978,23.287500000000005,23.75,0.0,0.0
35,35,12:42,13.0497,12.4577,24.5777,23.9857,23.200000000000003,24.0,0.0,0.0
36,36,12:52,12.9411,13.3828,24.469,24.9108,23.287500000000005,23.675000000000004,0.0,0.0
37,37,13:02,13.2119,13.1466,24.7399,24.6746,23.1625,23.625,0.0,0.0
38,38,13:12,13.1249,13.3063,24.6529,24.8343,23.287500000000005,23.675,0.0,0.0
39,39,13:22,13.3102,14.7565,24.8382,26.2844,23.200000000000003,23.0,0.0,0.0
40,40,13:33,13.1333,12.7616,24.6612,24.2895,23.287500000000005,23.5625,0.0,0.0
41,41,13:42,13.3739,12.886,24.9019,24.4139,23.1625,23.7625,0.0,0.0
42,42,13:53,13.0546,13.5735,24.5825,25.1015,23.287500000000005,23.4375,0.0,0.0
43,43,14:02,13.2991,13.2116,24.8271,24.7396,23.1625,23.5,0.0,0.0
44,44,14:13,13.0663,12.8516,24.5943,24.3796,23.262500000000003,23.6875,0.0,0.0
45,45,14:22,13.1918,13.3558,24.7198,24.8838,23.200000000000003,23.5,0.0,0.0
46,46,14:33,13.0934,13.4186,24.6214,24.9466,23.262500000000003,23.5,0.0,0.0
47,47,14:42,13.2247,12.8507,24.7527,24.3787,23.200000000000003,23.65,0.0,0.0
48,48,14:53,13.1526,13.0904,24.6806,24.6184,23.262500000000003,23.625,0.0,0.0
49,49,15:02,13.219,13.5458,24.747,25.0738,23.237499999999997,23.362499999999997,0.0,0.0
50,50,15:13,12.9178,13.2288,24.4458,24.7568,23.425000000000004,23.5,0.0,0.0
51,51,15:22,13.3626,13.3092,24.8906,24.8371,23.3125,23.525,0.0,0.0
52,52,15:33,13.03,13.4623,24.558,24.9903,23.450000000000003,23.5,0.0,0.0
53,53,15:42,13.3811,13.5547,24.9091,25.0827,23.349999999999998,23.449999999999996,0.0,0.0
54,54,15:53,13.1657,12.8591,24.6937,24.3871,23.4375,23.75,0.0,0.0
55,55,16:05,13.235,13.4139,24.763,24.9419,23.425000000000004,23.6125,0.0,0.0
56,56,16:13,12.7741,13.0251,24.1678,24.4188,23.462500000000006,23.575,0.0,0.0
57,57,16:23,12.6383,12.5007,24.032,23.8943,23.525000000000006,23.75,0.0,0.0
58,58,16:33,12.7689,15.004,24.1626,26.3977,23.475,22.5,0.0,0.0
59,59,16:43,12.6765,12.1155,24.0702,23.5092,23.462500000000006,23.5,0.0,0.0
60,60,16:53,12.486,12.066,23.8796,23.4597,23.512500000000003,23.75,0.0,0.0
61,61,17:02,12.5984,12.4059,23.9921,23.7996,23.475000000000005,23.75,0.0,0.0
62,62,17:13,12.062,12.3041,23.4557,23.6978,23.55,23.637500000000003,0.0,0.0
63,63,17:22,11.8401,12.1553,23.2338,23.5489,23.6125,23.5625,0.0,0.0
64,64,17:32,11.6454,11.6328,23.0391,23.0265,23.674999999999997,23.75,0.0,0.0
65,65,17:42,11.6325,11.4832,23.0262,22.8769,23.600000000000005,23.8125,0.0,0.0
66,66,17:51,11.2803,11.3247,22.674,22.7184,23.712500000000002,23.8125,0.0,0.0
