source_api,model,run_time_utc,run_time,target_time_utc_t_plus_1h,target_time_t_plus_1h,temperature_2m_t_plus_1h,relative_humidity_2m_t_plus_1h,dewpoint_2m_t_plus_1h,apparent_temperature_t_plus_1h,precipitation_probability_t_plus_1h,precipitation_t_plus_1h,rain_t_plus_1h,showers_t_plus_1h,snowfall_t_plus_1h,snow_depth_t_plus_1h,weathercode_t_plus_1h,pressure_msl_t_plus_1h,surface_pressure_t_plus_1h,cloudcover_t_plus_1h,cloudcover_low_t_plus_1h,cloudcover_mid_t_plus_1h,cloudcover_high_t_plus_1h,visibility_t_plus_1h,evapotranspiration_t_plus_1h,et0_fao_evapotranspiration_t_plus_1h,vapour_pressure_deficit_t_plus_1h,target_time_utc_t_plus_2h,target_time_t_plus_2h,temperature_2m_t_plus_2h,relative_humidity_2m_t_plus_2h,dewpoint_2m_t_plus_2h,apparent_temperature_t_plus_2h,precipitation_probability_t_plus_2h,precipitation_t_plus_2h,rain_t_plus_2h,showers_t_plus_2h,snowfall_t_plus_2h,snow_depth_t_plus_2h,weathercode_t_plus_2h,pressure_msl_t_plus_2h,surface_pressure_t_plus_2h,cloudcover_t_plus_2h,cloudcover_low_t_plus_2h,cloudcover_mid_t_plus_2h,cloudcover_high_t_plus_2h,visibility_t_plus_2h,evapotranspiration_t_plus_2h,et0_fao_evapotranspiration_t_plus_2h,vapour_pressure_deficit_t_plus_2h,target_time_utc_t_plus_3h,target_time_t_plus_3h,temperature_2m_t_plus_3h,relative_humidity_2m_t_plus_3h,dewpoint_2m_t_plus_3h,apparent_temperature_t_plus_3h,precipitation_probability_t_plus_3h,precipitation_t_plus_3h,rain_t_plus_3h,showers_t_plus_3h,snowfall_t_plus_3h,snow_depth_t_plus_3h,weathercode_t_plus_3h,pressure_msl_t_plus_3h,surface_pressure_t_plus_3h,cloudcover_t_plus_3h,cloudcover_low_t_plus_3h,cloudcover_mid_t_plus_3h,cloudcover_high_t_plus_3h,visibility_t_plus_3h,evapotranspiration_t_plus_3h,et0_fao_evapotranspiration_t_plus_3h,vapour_pressure_deficit_t_plus_3h,target_time_utc_t_plus_4h,target_time_t_plus_4h,temperature_2m_t_plus_4h,relative_humidity_2m_t_plus_4h,dewpoint_2m_t_plus_4h,apparent_temperature_t_plus_4h,precipitation_probability_t_plus_4h,precipitation_t_plus_4h,rain_t_plus_4h,showers_t_plus_4h,snowfall_t_plus_4h,snow_depth_t_plus_4h,weathercode_t_plus_4h,pressure_msl_t_plus_4h,surface_pressure_t_plus_4h,cloudcover_t_plus_4h,cloudcover_low_t_plus_4h,cloudcover_mid_t_plus_4h,cloudcover_high_t_plus_4h,visibility_t_plus_4h,evapotranspiration_t_plus_4h,et0_fao_evapotranspiration_t_plus_4h,vapour_pressure_deficit_t_plus_4h,target_time_utc_t_plus_5h,target_time_t_plus_5h,temperature_2m_t_plus_5h,relative_humidity_2m_t_plus_5h,dewpoint_2m_t_plus_5h,apparent_temperature_t_plus_5h,precipitation_probability_t_plus_5h,precipitation_t_plus_5h,rain_t_plus_5h,showers_t_plus_5h,snowfall_t_plus_5h,snow_depth_t_plus_5h,weathercode_t_plus_5h,pressure_msl_t_plus_5h,surface_pressure_t_plus_5h,cloudcover_t_plus_5h,cloudcover_low_t_plus_5h,cloudcover_mid_t_plus_5h,cloudcover_high_t_plus_5h,visibility_t_plus_5h,evapotranspiration_t_plus_5h,et0_fao_evapotranspiration_t_plus_5h,vapour_pressure_deficit_t_plus_5h,target_time_utc_t_plus_6h,target_time_t_plus_6h,temperature_2m_t_plus_6h,relative_humidity_2m_t_plus_6h,dewpoint_2m_t_plus_6h,apparent_temperature_t_plus_6h,precipitation_probability_t_plus_6h,precipitation_t_plus_6h,rain_t_plus_6h,showers_t_plus_6h,snowfall_t_plus_6h,snow_depth_t_plus_6h,weathercode_t_plus_6h,pressure_msl_t_plus_6h,surface_pressure_t_plus_6h,cloudcover_t_plus_6h,cloudcover_low_t_plus_6h,cloudcover_mid_t_plus_6h,cloudcover_high_t_plus_6h,visibility_t_plus_6h,evapotranspiration_t_plus_6h,et0_fao_evapotranspiration_t_plus_6h,vapour_pressure_deficit_t_plus_6h
single_runs_api,ncep_hrrr_conus,2025-09-29 06:00:00,2025-09-29 01:00:00,2025-09-29 07:00:00,2025-09-29 02:00:00,20.4,76,16.1,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.9,1013.5,0,0,0,0,21300.0,-0.0,0.0,0.58,2025-09-29 08:00:00,2025-09-29 03:00:00,19.5,75,15.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1013.6,0,0,0,0,21800.0,0.0,0.01,0.57,2025-09-29 09:00:00,2025-09-29 04:00:00,19.3,72,14.2,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.8,1013.4,0,0,0,0,23500.0,-0.0,0.0,0.63,2025-09-29 10:00:00,2025-09-29 05:00:00,18.4,77,14.3,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,1014.6,0,0,0,0,21200.0,0.0,0.01,0.49,2025-09-29 11:00:00,2025-09-29 06:00:00,17.8,82,14.7,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.4,1015.0,0,0,0,0,18200.0,0.0,0.0,0.37,2025-09-29 12:00:00,2025-09-29 07:00:00,17.6,85,15.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.8,1015.4,0,0,0,0,16300.0,0.0,0.0,0.3
single_runs_api,ncep_hrrr_conus,2025-09-29 09:00:00,2025-09-29 04:00:00,2025-09-29 10:00:00,2025-09-29 05:00:00,18.6,78,14.7,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.6,1014.2,0,0,0,0,20500.0,0.0,0.0,0.47,2025-09-29 11:00:00,2025-09-29 06:00:00,18.3,83,15.3,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.4,1014.0,3,3,0,0,17400.0,0.0,0.0,0.36,2025-09-29 12:00:00,2025-09-29 07:00:00,17.9,82,14.8,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.4,1015.0,1,1,0,0,18100.0,0.0,0.01,0.37,2025-09-29 13:00:00,2025-09-29 08:00:00,18.2,83,15.2,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.6,1015.2,1,1,0,0,17200.0,0.0,0.02,0.36,2025-09-29 14:00:00,2025-09-29 09:00:00,20.7,77,16.5,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.2,1015.8,0,0,0,0,21100.0,0.0,0.12,0.56,2025-09-29 15:00:00,2025-09-29 10:00:00,23.4,64,16.2,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.2,1015.9,0,0,0,0,28700.0,0.0,0.28,1.03
single_runs_api,ncep_hrrr_conus,2025-09-29 12:00:00,2025-09-29 07:00:00,2025-09-29 13:00:00,2025-09-29 08:00:00,19.2,79,15.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.6,1014.2,9,0,0,9,20100.0,0.0,0.02,0.47,2025-09-29 14:00:00,2025-09-29 09:00:00,21.1,74,16.3,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,1014.6,3,0,0,3,22600.0,0.0,0.13,0.65,2025-09-29 15:00:00,2025-09-29 10:00:00,24.0,61,16.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.1,1014.8,5,0,0,5,30400.0,0.0,0.28,1.16,2025-09-29 16:00:00,2025-09-29 11:00:00,26.5,46,13.9,27.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1017.0,1014.7,100,1,0,100,43600.0,0.0,0.44,1.87,2025-09-29 17:00:00,2025-09-29 12:00:00,28.1,39,12.8,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1017.2,1014.9,51,0,0,51,51900.0,0.0,0.54,2.32,2025-09-29 18:00:00,2025-09-29 13:00:00,29.5,37,13.3,31.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1016.4,1014.1,24,0,0,24,54700.0,0.0,0.62,2.6
single_runs_api,ncep_hrrr_conus,2025-09-29 15:00:00,2025-09-29 10:00:00,2025-09-29 16:00:00,2025-09-29 11:00:00,27.0,51,16.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.5,1015.2,3,0,0,3,38800.0,0.0,0.44,1.75,2025-09-29 17:00:00,2025-09-29 12:00:00,28.3,43,14.5,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.6,1014.3,1,0,0,1,47600.0,0.0,0.56,2.19,2025-09-29 18:00:00,2025-09-29 13:00:00,29.4,39,14.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.2,1013.9,0,0,0,0,51800.0,0.0,0.63,2.5,2025-09-29 19:00:00,2025-09-29 14:00:00,30.5,34,12.9,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.7,1013.4,0,0,0,0,57800.0,0.0,0.64,2.88,2025-09-29 20:00:00,2025-09-29 15:00:00,31.4,31,12.3,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.2,1012.9,0,0,0,0,62300.0,0.0,0.63,3.18,2025-09-29 21:00:00,2025-09-29 16:00:00,31.6,32,12.9,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.2,1012.9,4,0,0,4,60800.0,0.0,0.54,3.16
single_runs_api,ncep_hrrr_conus,2025-09-29 18:00:00,2025-09-29 13:00:00,2025-09-29 19:00:00,2025-09-29 14:00:00,29.7,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,50900.0,0.0,,,2025-09-29 20:00:00,2025-09-29 15:00:00,30.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,52200.0,0.0,,,2025-09-29 21:00:00,2025-09-29 16:00:00,30.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,50600.0,0.0,,,2025-09-29 22:00:00,2025-09-29 17:00:00,30.2,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,49900.0,0.0,,,2025-09-29 23:00:00,2025-09-29 18:00:00,29.7,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,49000.0,0.0,,,2025-09-30 00:00:00,2025-09-29 19:00:00,28.7,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,45900.0,0.0,,
single_runs_api,ncep_hrrr_conus,2025-09-29 21:00:00,2025-09-29 16:00:00,2025-09-29 22:00:00,2025-09-29 17:00:00,29.7,43,15.8,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.8,1012.5,1,1,0,0,47000.0,0.0,0.39,2.38,2025-09-29 23:00:00,2025-09-29 18:00:00,29.1,47,16.7,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.1,1012.8,12,0,0,12,42600.0,0.0,0.23,2.14,2025-09-30 00:00:00,2025-09-29 19:00:00,28.4,43,14.6,29.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1015.4,1013.1,70,70,0,17,46700.0,0.0,0.09,2.2,2025-09-30 01:00:00,2025-09-29 20:00:00,27.1,45,14.2,27.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1016.1,1013.8,100,100,0,0,45200.0,0.0,0.09,1.98,2025-09-30 02:00:00,2025-09-29 21:00:00,26.6,49,15.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1016.4,1014.1,88,88,0,74,40800.0,0.0,0.07,1.77,2025-09-30 03:00:00,2025-09-29 22:00:00,25.3,59,16.7,26.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1016.3,1014.0,100,38,0,100,32200.0,0.0,0.05,1.32
single_runs_api,ncep_hrrr_conus,2025-09-30 00:00:00,2025-09-29 19:00:00,2025-09-30 01:00:00,2025-09-29 20:00:00,26.7,52,16.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.5,1013.2,100,33,0,100,37800.0,0.0,0.09,1.68,2025-09-30 02:00:00,2025-09-29 21:00:00,25.8,54,15.8,26.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.6,1013.3,100,29,0,100,36200.0,0.0,0.06,1.53,2025-09-30 03:00:00,2025-09-29 22:00:00,25.6,55,15.9,27.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.8,1013.5,100,27,0,100,35100.0,-0.0,0.0,1.48,2025-09-30 04:00:00,2025-09-29 23:00:00,25.2,58,16.4,27.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1016.2,1013.9,100,1,0,100,33200.0,-0.0,0.0,1.35,2025-09-30 05:00:00,2025-09-30 00:00:00,24.7,62,17.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.6,1013.3,100,0,14,100,30000.0,0.0,0.01,1.18,2025-09-30 06:00:00,2025-09-30 01:00:00,24.3,66,17.5,26.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1016.0,1013.7,100,0,100,100,27000.0,0.0,0.01,1.03
single_runs_api,ncep_hrrr_conus,2025-09-30 03:00:00,2025-09-29 22:00:00,2025-09-30 04:00:00,2025-09-29 23:00:00,23.4,74,18.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1016.5,1014.2,58,3,0,58,22300.0,0.0,0.02,0.75,2025-09-30 05:00:00,2025-09-30 00:00:00,22.9,70,17.2,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.2,1013.9,8,3,1,8,24800.0,0.0,0.02,0.84,2025-09-30 06:00:00,2025-09-30 01:00:00,22.2,69,16.3,23.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.5,1013.2,99,0,3,99,25500.0,0.0,0.01,0.83,2025-09-30 07:00:00,2025-09-30 02:00:00,21.6,72,16.3,22.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.5,1013.1,100,0,0,100,23600.0,0.0,0.02,0.72,2025-09-30 08:00:00,2025-09-30 03:00:00,21.4,72,16.2,22.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.9,1013.5,100,0,9,100,23400.0,0.0,0.02,0.72,2025-09-30 09:00:00,2025-09-30 04:00:00,21.1,73,16.1,22.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.5,1013.1,100,0,31,100,23100.0,0.0,0.02,0.68
single_runs_api,ncep_hrrr_conus,2025-09-30 06:00:00,2025-09-30 01:00:00,2025-09-30 07:00:00,2025-09-30 02:00:00,22.6,77,18.4,24.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.5,1013.2,100,0,1,100,20900.0,0.0,0.01,0.63,2025-09-30 08:00:00,2025-09-30 03:00:00,22.2,74,17.4,23.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.7,1013.4,100,0,15,100,22500.0,0.0,0.02,0.7,2025-09-30 09:00:00,2025-09-30 04:00:00,21.8,72,16.6,23.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.1,1012.8,100,0,30,100,23500.0,0.0,0.02,0.73,2025-09-30 10:00:00,2025-09-30 05:00:00,21.1,72,15.8,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.6,1013.2,100,0,2,100,23300.0,0.0,0.02,0.7,2025-09-30 11:00:00,2025-09-30 06:00:00,20.8,70,15.2,21.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1016.1,1013.7,100,0,0,100,24400.0,0.0,0.02,0.74,2025-09-30 12:00:00,2025-09-30 07:00:00,20.1,76,15.8,21.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1016.5,1014.1,100,0,96,100,21200.0,0.0,0.01,0.57
single_runs_api,ncep_hrrr_conus,2025-09-30 09:00:00,2025-09-30 04:00:00,2025-09-30 10:00:00,2025-09-30 05:00:00,21.7,80,18.1,23.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1016.0,1013.6,62,0,1,62,18900.0,0.0,0.01,0.52,2025-09-30 11:00:00,2025-09-30 06:00:00,21.4,78,17.4,23.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1016.0,1013.6,100,1,0,100,20300.0,0.0,0.01,0.56,2025-09-30 12:00:00,2025-09-30 07:00:00,21.4,82,18.2,23.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1016.1,1013.7,100,1,100,100,18600.0,0.0,0.0,0.46,2025-09-30 13:00:00,2025-09-30 08:00:00,21.5,84,18.7,23.8,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1016.7,1014.3,100,7,100,100,17200.0,0.0,0.02,0.41,2025-09-30 14:00:00,2025-09-30 09:00:00,23.1,78,19.1,25.5,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1017.3,1015.0,100,1,100,87,20200.0,0.0,0.11,0.62,2025-09-30 15:00:00,2025-09-30 10:00:00,24.9,73,19.8,27.8,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1016.4,1014.1,100,0,100,72,23200.0,0.0,0.18,0.85
single_runs_api,ncep_hrrr_conus,2025-09-30 12:00:00,2025-09-30 07:00:00,2025-09-30 13:00:00,2025-09-30 08:00:00,21.5,83,18.5,23.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.7,1013.3,100,30,100,100,17900.0,0.0,0.03,0.44,2025-09-30 14:00:00,2025-09-30 09:00:00,23.1,76,18.6,25.5,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1016.1,1013.8,100,0,100,100,21500.0,0.0,0.1,0.68,2025-09-30 15:00:00,2025-09-30 10:00:00,24.6,70,18.8,27.2,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1015.8,1013.5,100,0,100,100,24800.0,0.0,0.15,0.93,2025-09-30 16:00:00,2025-09-30 11:00:00,27.4,59,18.7,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1016.0,1013.7,22,0,22,0,31900.0,0.0,0.34,1.49,2025-09-30 17:00:00,2025-09-30 12:00:00,29.5,50,18.0,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.6,1013.3,0,0,0,0,40200.0,0.0,0.54,2.06,2025-09-30 18:00:00,2025-09-30 13:00:00,30.7,41,16.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,1012.7,0,0,0,0,49200.0,0.0,0.6,2.61
single_runs_api,ncep_hrrr_conus,2025-09-30 15:00:00,2025-09-30 10:00:00,2025-09-30 16:00:00,2025-09-30 11:00:00,26.6,68,20.2,29.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1016.3,1014.0,46,46,11,24,26000.0,0.0,0.35,1.11,2025-09-30 17:00:00,2025-09-30 12:00:00,29.0,56,19.4,33.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.1,1013.8,15,15,0,0,34600.0,0.0,0.52,1.76,2025-09-30 18:00:00,2025-09-30 13:00:00,29.8,45,16.6,32.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.2,1012.9,3,3,0,0,45000.0,0.0,0.58,2.31,2025-09-30 19:00:00,2025-09-30 14:00:00,30.9,40,15.8,34.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.3,1013.0,8,8,0,0,50400.0,0.0,0.62,2.68,2025-09-30 20:00:00,2025-09-30 15:00:00,31.1,37,14.7,32.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.4,1012.1,1,1,0,0,54700.0,0.0,0.6,2.84,2025-09-30 21:00:00,2025-09-30 16:00:00,30.9,39,15.4,31.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1014.0,1011.7,20,20,0,0,51200.0,0.0,0.51,2.73
single_runs_api,ncep_hrrr_conus,2025-09-30 18:00:00,2025-09-30 13:00:00,2025-09-30 19:00:00,2025-09-30 14:00:00,30.5,43,16.5,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.4,1013.1,0,0,0,0,47100.0,0.0,0.63,2.48,2025-09-30 20:00:00,2025-09-30 15:00:00,30.8,41,16.1,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.6,1012.3,2,2,0,0,49700.0,0.0,0.58,2.62,2025-09-30 21:00:00,2025-09-30 16:00:00,30.7,38,14.8,32.1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1014.4,1012.1,58,58,0,0,52500.0,0.0,0.47,2.74,2025-09-30 22:00:00,2025-09-30 17:00:00,27.3,47,15.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1014.1,1011.8,98,98,0,0,43300.0,0.0,0.2,1.92,2025-09-30 23:00:00,2025-09-30 18:00:00,29.3,42,15.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1014.6,1012.3,48,48,0,0,48000.0,0.0,0.19,2.36,2025-10-01 00:00:00,2025-09-30 19:00:00,27.7,44,14.3,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.2,1011.9,0,0,0,0,46000.0,0.0,0.12,2.08
single_runs_api,ncep_hrrr_conus,2025-09-30 21:00:00,2025-09-30 16:00:00,2025-09-30 22:00:00,2025-09-30 17:00:00,29.6,46,16.8,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.2,1011.9,2,2,0,0,43800.0,0.0,0.39,2.24,2025-09-30 23:00:00,2025-09-30 18:00:00,29.1,49,17.3,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,1011.7,0,0,0,0,40300.0,0.0,0.23,2.06,2025-10-01 00:00:00,2025-09-30 19:00:00,27.5,44,14.2,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.6,1012.3,0,0,0,0,45800.0,0.0,0.12,2.06,2025-10-01 01:00:00,2025-09-30 20:00:00,26.4,42,12.5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.9,1012.6,0,0,0,0,48200.0,0.0,0.11,2.0,2025-10-01 02:00:00,2025-09-30 21:00:00,25.5,46,13.1,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.1,1012.8,0,0,0,0,43900.0,0.0,0.05,1.77,2025-10-01 03:00:00,2025-09-30 22:00:00,24.5,50,13.4,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.3,1013.0,0,0,0,0,39600.0,0.0,0.04,1.54
